Underlying,Price,AsOf
AMZN,227.5,2025-10-27
ELF,126.84,2025-10-27
NVO,53.04,2025-10-27
SOFI,29.85,2025-10-27
ANET,156.84,2025-10-28
CLOV,3.8048,2025-10-28
QQQ,633.47,2025-10-28
